Full Location	Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Cytoband End	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	DB Count Both	CytoRegions	Call	Segment Interpretation	Microarray Nomenclature (ISCN 2016)	Curation By	Materially Modified Segment
chr1:119770580-121597519	true	HCC1395_BL.cyhd.cychp		LOH	1	p12	p11.2	1826.939	82	19	REG4, NBPF7, ADAM30, NOTCH2, SEC22B, PFN1P2, NBPF8, RNVU1-19, PPIAL4A, LINC00623, RNVU1-20, RNVU1-4, LOC101929798, FCGR1B, HIST2H2BA, FAM72B, SRGAP2C, SRGAP2-AS1, EMBP1	10	REG4 (609846), NBPF7 (613997), ADAM30 (604779), NOTCH2 (600275), SEC22B (604029), PFN1P2 (608609), NBPF8 (613998), FCGR1B (601502), FAM72B (614711), SRGAP2C (614704)		Cytoregions Not Set			arr[GRCh38] 1p12p11.2(119770580_121597519) hmz	zyang:zhaowei	false
chr1:143574578-143754051	true	HCC1395_BL.cyhd.cychp		LOH	1	q21.1	q21.1	179.473	5	6	RNVU1-17, RNU1-3, RNVU1-18, RNU1-4, RNU1-1, RNU1-2	0			Cytoregions Not Set			arr[GRCh38] 1q21.1(143574578_143754051) hmz	zyang:zhaowei	false
chr1:144931516-147545944	true	HCC1395_BL.cyhd.cychp		LOH	1	q21.1	q21.2	2614.428	228	50	SRGAP2B, FAM72D, LOC103091866, PPIAL4F, PPIAL4D, PPIAL4E, RNVU1-14, NBPF20, NBPF25P, GPR89A, PDZK1, CD160, RNF115, POLR3C, NUDT17, PIAS3, MIR6736, ANKRD35, ITGA10, PEX11B, GNRHR2, RBM8A, LIX1L, ANKRD34A, POLR3GL, TXNIP, HFE2, RNVU1-6, LOC101928979, NBPF10, NOTCH2NL, NUDT4P2, NUDT4P1, RNU1-3, RNU1-4, RNU1-1, RNVU1-18, RNU1-2, CH17-408M7.1, HYDIN2, NBPF12, LOC728989, RNVU1-8, NBPF13P, PRKAB2, PDIA3P1, FMO5, CHD1L, LINC00624, BCL9	19	SRGAP2B (614703), FAM72D (614712), NBPF20 (614007), GPR89A (612821), PDZK1 (603831), CD160 (604463), PIAS3 (605987), ITGA10 (604042), PEX11B (603867), RBM8A (605313), TXNIP (606599), HFE2 (608374), NBPF10 (614000), HYDIN2 (610813), NBPF12 (608607), PRKAB2 (602741), FMO5 (603957), CHD1L (613039), BCL9 (602597)		Cytoregions Not Set			arr[GRCh38] 1q21.1q21.2(144931516_147545944) hmz	zyang:zhaowei	false
chr1:198108125-199145619	true	HCC1395_BL.cyhd.cychp		LOH	1	q31.3	q32.1	1037.494	263	8	NEK7, ATP6V1G3, PTPRC, MIR181A1HG, MIR181B1, MIR181A1, LINC01222, LINC01221	4	NEK7 (606848), PTPRC (151460), MIR181B1 (612744), MIR181A1 (612742)		Cytoregions Not Set			arr[GRCh38] 1q31.3q32.1(198108125_199145619) hmz	zyang:zhaowei	false
chr1:34720243-36766546	true	HCC1395_BL.cyhd.cychp		LOH	1	p34.3	p34.3	2046.303	355	34	GJB5, GJB4, GJB3, GJA4, SMIM12, DLGAP3, LOC653160, TMEM35B, ZMYM6, ZMYM1, SFPQ, ZMYM4, KIAA0319L, NCDN, TFAP2E, PSMB2, C1orf216, CLSPN, AGO4, AGO1, AGO3, TEKT2, ADPRHL2, COL8A2, TRAPPC3, MAP7D1, THRAP3, SH3D21, EVA1B, STK40, LSM10, OSCP1, MRPS15, CSF3R	25	GJB5 (604493), GJB4 (605425), GJB3 (603324), GJA4 (121012), DLGAP3 (611413), ZMYM6 (613567), SFPQ (605199), ZMYM4 (613568), KIAA0319L (613535), NCDN (608458), TFAP2E (614428), PSMB2 (602175), CLSPN (605434), AGO4 (607356), AGO1 (606228), AGO3 (607355), TEKT2 (608953), ADPRHL2 (610624), COL8A2 (120252), TRAPPC3 (610955), THRAP3 (603809), STK40 (609437), OSCP1 (608854), MRPS15 (611979), CSF3R (138971)		Cytoregions Not Set			arr[GRCh38] 1p34.3(34720243_36766546) hmz	zyang:zhaowei	false
chr1:48955157-50274403	true	HCC1395_BL.cyhd.cychp		LOH	1	p33	p32.3	1319.246	207	4	AGBL4, LOC101929721, AGBL4-IT1, ELAVL4	2	AGBL4 (616476), ELAVL4 (168360)		Cytoregions Not Set			arr[GRCh38] 1p33p32.3(48955157_50274403) hmz	zyang:zhaowei	false
chr1:83645998-84754599	true	HCC1395_BL.cyhd.cychp		LOH	1	p31.1	p22.3	1108.601	317	14	LOC101927587, LOC101927560, TTLL7, PRKACB, SAMD13, UOX, DNASE2B, RPF1, GNG5, SPATA1, CTBS, LINC01461, LINC01555, SSX2IP	5	PRKACB (176892), DNASE2B (608057), GNG5 (600874), CTBS (600873), SSX2IP (608690)		Cytoregions Not Set			arr[GRCh38] 1p31.1p22.3(83645998_84754599) hmz	zyang:zhaowei	false
chr1:99665483-100739088	true	HCC1395_BL.cyhd.cychp		LOH	1	p21.2	p21.2	1073.605	275	17	MIR548N, PALMD, FRRS1, AGL, SLC35A3, MFSD14A, SASS6, TRMT13, LRRC39, DBT, RTCA-AS1, RTCA, MIR553, CDC14A, GPR88, LINC01349, VCAM1	10	PALMD (610182), FRRS1 (611578), AGL (610860), SLC35A3 (605632), SASS6 (609321), DBT (248610), RTCA (611286), CDC14A (603504), GPR88 (607468), VCAM1 (192225)		Cytoregions Not Set			arr[GRCh38] 1p21.2(99665483_100739088) hmz	zyang:zhaowei	false
chr10:102396625-103553473	true	HCC1395_BL.cyhd.cychp		LOH	10	q24.32	q24.33	1156.848	169	32	NFKB2, PSD, FBXL15, CUEDC2, MIR146B, RPARP-AS1, C10orf95, MFSD13A, ACTR1A, SUFU, TRIM8, ARL3, SFXN2, WBP1L, CYP17A1, BORCS7, BORCS7-ASMT, AS3MT, CNNM2, NT5C2, RPEL1, INA, PCGF6, TAF5, USMG5, MIR1307, PDCD11, CALHM2, CALHM1, CALHM3, NEURL1-AS1, NEURL1	24	NFKB2 (164012), PSD (602327), FBXL15 (610287), CUEDC2 (614142), MIR146B (610567), ACTR1A (605143), SUFU (607035), TRIM8 (606125), ARL3 (604695), SFXN2 (615570), WBP1L (611129), CYP17A1 (609300), BORCS7 (616600), AS3MT (611806), CNNM2 (607803), NT5C2 (600417), INA (605338), PCGF6 (607816), TAF5 (601787), USMG5 (615204), PDCD11 (612333), CALHM2 (612235), CALHM1 (612234), NEURL1 (603804)		Cytoregions Not Set			arr[GRCh38] 10q24.32q24.33(102396625_103553473) hmz	zyang:zhaowei	false
chr10:21939402-23086950	true	HCC1395_BL.cyhd.cychp		LOH	10	p12.31	p12.2	1147.548	254	10	DNAJC1, EBLN1, LOC100130992, COMMD3, COMMD3-BMI1, BMI1, SPAG6, LOC100499489, PIP4K2A, ARMC3	7	DNAJC1 (611207), EBLN1 (613249), COMMD3 (616700), BMI1 (164831), SPAG6 (605730), PIP4K2A (603140), ARMC3 (611226)		Cytoregions Not Set			arr[GRCh38] 10p12.31p12.2(21939402_23086950) hmz	zyang:zhaowei	false
